Marca de Tiempo,Uso de Memoria(%)
11:35:41,83.8
11:35:42,83.8
11:35:43,83.9
11:35:44,84.7
11:35:45,88.2
11:35:46,88.5
11:35:47,88.6
11:35:48,88.7
11:35:49,86.0
11:35:50,86.0
11:35:51,86.0
11:35:52,86.1
11:35:53,86.1
11:35:54,86.1
11:35:55,84.6
11:35:56,84.5
11:35:57,84.5
11:35:58,84.5
11:35:59,84.5
11:36:00,84.5
11:36:01,85.1
11:36:02,84.6
11:36:03,85.0
11:36:04,85.0
11:36:05,86.1
11:36:06,86.5
11:36:07,85.0
11:36:08,85.1
11:36:09,86.5
11:36:10,87.3
11:36:11,87.7
11:36:12,88.3
11:36:13,89.4
11:36:14,90.2
11:36:15,90.3
11:36:16,89.9
11:36:17,90.1
11:36:19,90.1
11:36:20,90.1
11:36:21,89.7
11:36:22,89.8
11:36:23,89.8
11:36:24,89.8
11:36:25,89.8
11:36:26,89.8
11:36:27,89.6
11:36:28,89.6
11:36:29,89.7
11:36:30,89.6
11:36:31,90.0
11:36:32,90.1
11:36:33,90.0
11:36:34,90.0
11:36:35,89.9
11:36:36,88.7
11:36:37,88.3
11:36:38,89.0
11:36:39,89.0
11:36:40,87.3
11:36:41,86.8
11:36:42,86.9
11:36:43,86.9
11:36:44,86.2
11:36:45,86.2
11:36:46,86.1
11:36:47,86.1
11:36:48,86.0
11:36:49,86.2
11:36:50,86.6
11:36:51,86.4
11:36:52,86.3
11:36:53,86.8
11:36:54,86.5
11:36:55,86.5
11:36:56,86.5
11:36:57,86.5
11:36:58,86.5
11:36:59,86.4
11:37:00,86.6
11:37:01,86.2
11:37:02,86.3
11:37:03,86.2
11:37:04,86.2
11:37:05,86.2
11:37:06,86.2
11:37:07,86.3
11:37:08,86.2
11:37:09,86.1
11:37:10,86.1
11:37:11,86.2
11:37:12,85.9
11:37:13,85.3
11:37:14,85.3
11:37:15,85.2
11:37:16,85.3
11:37:17,85.3
11:37:18,85.3
11:37:19,85.2
11:37:20,85.2
11:37:21,85.2
11:37:22,85.0
11:37:23,84.7
11:37:24,84.5
11:37:25,84.6
11:37:26,84.6
11:37:27,84.6
11:37:28,84.7
11:37:29,84.6
11:37:30,84.6
11:37:31,84.4
11:37:32,84.4
11:37:33,84.4
11:37:34,84.5
11:37:35,84.6
11:37:36,84.6
11:37:37,84.6
11:37:38,84.5
11:37:39,84.6
11:37:40,84.5
11:37:41,84.6
11:37:42,84.5
11:37:43,84.6
11:37:44,84.7
11:37:45,84.7
11:37:46,84.7
11:37:47,84.7
11:37:48,84.7
11:37:49,84.7
11:37:50,84.7
11:37:51,84.7
11:37:52,84.7
11:37:53,84.7
11:37:54,84.8
11:37:55,84.8
11:37:56,84.8
11:37:57,84.9
11:37:58,84.9
11:37:59,85.0
11:38:01,84.9
11:38:02,85.0
11:38:03,84.9
11:38:04,84.9
11:38:05,84.9
11:38:06,84.9
11:38:07,83.8
11:38:08,83.6
11:38:09,83.5
11:38:10,83.6
11:38:11,83.5
11:38:12,83.5
11:38:13,83.5
11:38:14,83.9
11:38:15,84.7
11:38:16,85.0
11:38:17,85.7
11:38:18,85.7
11:38:19,85.7
11:38:20,85.6
11:38:21,87.3
11:38:22,88.5
11:38:23,89.5
11:38:24,89.8
11:38:25,89.1
11:38:26,90.3
11:38:27,90.4
11:38:28,88.6
11:38:29,88.6
11:38:30,88.4
11:38:31,88.3
11:38:32,88.6
11:38:33,88.5
11:38:34,88.6
11:38:35,88.8
11:38:36,88.8
11:38:37,88.8
11:38:38,88.6
11:38:39,88.9
11:38:40,88.9
11:38:41,88.8
11:38:42,88.5
11:38:43,88.7
11:38:44,88.7
11:38:45,88.6
11:38:46,88.6
11:38:47,88.6
11:38:48,88.6
11:38:49,88.6
11:38:50,88.6
11:38:51,88.7
11:38:52,88.5
11:38:53,88.7
11:38:54,88.3
11:38:55,88.0
11:38:56,87.8
11:38:57,87.7
11:38:58,87.7
11:38:59,89.1
11:39:00,89.6
11:39:01,89.6
11:39:02,91.3
11:39:03,91.7
11:39:04,91.8
11:39:05,93.6
11:39:06,90.3
11:39:07,90.8
11:39:08,91.1
11:39:09,91.4
11:39:10,92.1
11:39:11,93.2
11:39:12,92.7
11:39:13,93.1
11:39:14,93.2
11:39:15,93.1
11:39:16,93.2
11:39:17,93.3
11:39:18,92.9
11:39:19,93.1
11:39:20,93.5
11:39:21,92.9
11:39:22,93.2
11:39:23,93.0
11:39:24,92.8
11:39:25,92.9
11:39:26,92.9
11:39:27,92.7
11:39:28,92.6
11:39:29,91.1
11:39:30,91.1
11:39:31,91.0
11:39:32,86.9
11:39:33,86.4
11:39:34,85.9
11:39:35,86.1
11:39:36,86.1
11:39:37,84.6
11:39:38,84.7
11:39:39,84.6
11:39:40,84.7
11:39:41,84.6
11:39:42,84.6
11:39:43,84.6
11:39:44,84.5
11:39:45,84.4
11:39:46,84.3
11:39:47,84.6
11:39:48,84.2
11:39:49,84.5
11:39:50,84.5
11:39:51,84.5
11:39:52,84.5
11:39:53,84.6
11:39:54,84.5
11:39:55,84.6
11:39:56,84.5
11:39:57,84.4
11:39:58,84.5
11:39:59,84.4
11:40:00,84.5
11:40:01,84.6
11:40:02,85.0
11:40:03,84.3
11:40:04,84.4
11:40:05,83.8
11:40:06,83.7
11:40:07,84.4
11:40:08,84.2
11:40:09,84.0
11:40:10,84.3
11:40:11,84.4
11:40:13,84.3
11:40:14,84.2
11:40:15,84.2
11:40:16,84.1
11:40:17,84.1
11:40:18,83.5
11:40:19,83.3
11:40:20,83.4
11:40:21,83.3
11:40:22,83.0
11:40:23,83.3
11:40:24,83.4
11:40:25,83.5
11:40:26,83.1
11:40:27,83.1
11:40:28,83.2
11:40:29,82.8
11:40:30,83.8
11:40:31,83.8
11:40:32,83.7
11:40:33,83.9
11:40:34,83.6
11:40:35,83.7
11:40:36,83.6
11:40:37,83.5
11:40:38,83.5
11:40:39,83.4
11:40:40,83.6
11:40:41,83.4
